Movie Title,Year,Genre,tmdb_id
The Godfather,1972,,
The Godfather: Part II,1974,,
12 Angry Men,1957,,
Schindler's List,1993,,
Pulp Fiction,1994,,
"Il buono, il brutto, il cattivo",1966,,
Fight Club,1999,,
Forrest Gump,1994,,
Star Wars: Episode V - The Empire Strikes Back,1980,,
One Flew Over the Cuckoo's Nest,1975,,
Goodfellas,1990,,
The Matrix,1999,,
Shichinin no samurai,1954,,
Cidade de Deus,2002,,
Se7en,1995,,
Star Wars,1977,,
The Silence of the Lambs,1991,,
It's a Wonderful Life,1946,,
La vita è bella,1997,,
The Usual Suspects,1995,,
Sen to Chihiro no kamikakushi,2001,,
Saving Private Ryan,1998,,
Léon,1994,,
The Green Mile,1999,,
Psycho,1960,,
American History X,1998,,
City Lights,1931,,
C'era una volta il West,1968,,
Casablanca,1942,,
Modern Times,1936,,
The Pianist,2002,,
Intouchables,2011,,
Terminator 2: Judgment Day,1991,,
Back to the Future,1985,,
Rear Window,1954,,
Raiders of the Lost Ark,1981,,
The Lion King,1994,,
Apocalypse Now,1979,,
Alien,1979,,
The Great Dictator,1940,,
Nuovo Cinema Paradiso,1988,,
Hotaru no haka,1988,,
Avengers: Infinity War,2018,,
Sunset Blvd.,1950,,
Das Leben der Anderen,2006,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,
Paths of Glory,1957,,
The Shining,1980,,
Mononoke-hime,1997,,
Witness for the Prosecution,1957,,
American Beauty,1999,,
The Dark Knight Rises,2012,,
Oldeuboi,2003,,
Aliens,1986,,
Once Upon a Time in America,1984,,
Coco,2017,,
Das Boot,1981,,
Citizen Kane,1941,,
Braveheart,1995,,
Vertigo,1958,,
North by Northwest,1959,,
Reservoir Dogs,1992,,
Star Wars: Episode VI - Return of the Jedi,1983,,
M - Eine Stadt sucht einen Mörder,1931,,
Kimi no na wa.,2016,,
Amadeus,1984,,
Requiem for a Dream,2000,,
Dangal,2016,,
Taare Zameen Par,2007,,
Lawrence of Arabia,1962,,
A Clockwork Orange,1971,,
3 Idiots,2009,,
2001: A Space Odyssey,1968,,
Le fabuleux destin d'Amélie Poulain,2001,,
Toy Story,1995,,
Double Indemnity,1944,,
Taxi Driver,1976,,
Singin' in the Rain,1952,,
Full Metal Jacket,1987,,
To Kill a Mockingbird,1962,,
Ladri di biciclette,1948,,
The Kid,1921,,
The Sting,1973,,
Good Will Hunting,1997,,
Toy Story 3,2010,,
Jagten,2012,,
Snatch,2000,,
Scarface,1983,,
Monty Python and the Holy Grail,1975,,
Per qualche dollaro in più,1965,,
L.A. Confidential,1997,,
The Apartment,1960,,
Metropolis,1927,,
Jodaeiye Nader az Simin,2011,,
Indiana Jones and the Last Crusade,1989,,
Rashômon,1950,,
All About Eve,1950,,
Batman Begins,2005,,
Yôjinbô,1961,,
Some Like It Hot,1959,,
Unforgiven,1992,,
Der Untergang,2004,,
Die Hard,1988,,
The Treasure of the Sierra Madre,1948,,
Heat,1995,,
Ikiru,1952,,
Incendies,2010,,
Raging Bull,1980,,
The Great Escape,1963,,
Bacheha-Ye aseman,1997,,
El laberinto del fauno,2006,,
Babam ve Oglum,2005,,
Chinatown,1974,,
The Third Man,1949,,
Bohemian Rhapsody,2018,,
Tonari no Totoro,1988,,
Hauru no ugoku shiro,2004,,
Ran,1985,,
Judgment at Nuremberg,1961,,
El secreto de sus ojos,2009,,
The Gold Rush,1925,,
The Bridge on the River Kwai,1957,,
A Beautiful Mind,2001,,
"Lock, Stock and Two Smoking Barrels",1998,,
Casino,1995,,
"Three Billboards Outside Ebbing, Missouri",2017,,
On the Waterfront,1954,,
Det sjunde inseglet,1957,,
Inside Out,2015,,
The Elephant Man,1980,,
Room,2015,,
Mr. Smith Goes to Washington,1939,,
V for Vendetta,2005,,
Warrior,2011,,
Blade Runner,1982,,
Dial M for Murder,1954,,
Smultronstället,1957,,
The General,1926,,
Trainspotting,1996,,
The Sixth Sense,1999,,
Gone with the Wind,1939,,
The Thing,1982,,
Fargo,1996,,
Gran Torino,2008,,
The Deer Hunter,1978,,
Finding Nemo,2003,,
Idi i smotri,1985,,
The Big Lebowski,1998,,
Shutter Island,2010,,
Sherlock Jr.,1924,,
Cool Hand Luke,1967,,
Rebecca,1940,,
Tôkyô monogatari,1953,,
Mary and Max,2009,,
Hacksaw Ridge,2016,,
How to Train Your Dragon,2010,,
Sunrise: A Song of Two Humans,1927,,
Relatos salvajes,2014,,
Jurassic Park,1993,,
Into the Wild,2007,,
Life of Brian,1979,,
In the Name of the Father,1993,,
The Truman Show,1998,,
Platoon,1986,,
Stand by Me,1986,,
It Happened One Night,1934,,
Eskiya,1996,,
Network,1976,,
Stalker,1979,,
Persona,1966,,
Salinui chueok,2003,,
Ben-Hur,1959,,
Hotel Rwanda,2004,,
Million Dollar Baby,2004,,
La passion de Jeanne d'Arc,1928,,
Rush,2013,,
Andrey Rublev,1966,,
Le salaire de la peur,1953,,
Before Sunrise,1995,,
Les quatre cents coups,1959,,
Prisoners,2013,,
Hachi: A Dog's Tale,2009,,
Logan,2017,,
Rang De Basanti,2006,,
Amores perros,2000,,
The Princess Bride,1987,,
Catch Me If You Can,2002,,
Kaze no tani no Naushika,1984,,
Harry Potter and the Deathly Hallows: Part 2,2011,,
Butch Cassidy and the Sundance Kid,1969,,
Rocky,1976,,
Barry Lyndon,1975,,
"Monsters, Inc.",2001,,
The Grapes of Wrath,1940,,
The Maltese Falcon,1941,,
Dead Poets Society,1989,,
Donnie Darko,2001,,
The Terminator,1984,,
Gandhi,1982,,
Les diaboliques,1955,,
La haine,1995,,
Groundhog Day,1993,,
The Wizard of Oz,1939,,
Jaws,1975,,
Le notti di Cabiria,1957,,
The Help,2011,,
Faa yeung nin wa,2000,,
Mandariinid,2013,,
Paper Moon,1973,,
Ah-ga-ssi,2016,,
"Paris, Texas",1984,,
The Best Years of Our Lives,1946,,
Tenkû no shiro Rapyuta,1986,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,
Guardians of the Galaxy,2014,,
Fanny och Alexander,1982,,
Tsubaki Sanjûrô,1962,,
Gangs of Wasseypur,2012,,
Drishyam,2015,,
Dave Vis,,,
Harakiri,1962,,
Come and See,1985,,
Seven Samurai,1954,,
The Human Condition III: A Soldier's Prayer,1961,,
High and Low,1963,,
The Godfather Part II,1974,,
The Human Condition I: No Greater Love,1959,,
A Brighter Summer Day,1991,,
"The Good, the Bad and the Ugly",1966,,
Le Trou,1960,,
Cinema Paradiso,1988,,
Autumn Sonata,1978,,
Grave of the Fireflies,1988,,
Neon Genesis Evangelion: The End of Evangelion,1997,,
Woman in the Dunes,1964,,
The Human Condition II: Road to Eternity,1959,,
Andrei Rublev,1966,,
Tokyo Story,1953,,
Sunset Boulevard,1950,,
The Cranes Are Flying,1957,,
The Passion of Joan of Arc,1928,,
Mishima: A Life in Four Chapters,1985,,
Fanny and Alexander,1982,,
The Battle of Algiers,1966,,
Close-Up,1990,,
Spider-Man: Across the Spider-Verse,2023,,
The Ascent,1977,,
I Am Cuba,1964,,
Sansho the Bailiff,1954,,
The Empire Strikes Back,1980,,
The Red Shoes,1948,,
Do the Right Thing,1989,,
A Woman Under the Influence,1974,,
Nights of Cabiria,1957,,
Nobody Knows,2004,,
Once Upon a Time in the West,1968,,
Perfect Blue,1997,,
Princess Mononoke,1997,,
Red Beard,1965,,
Love Exposure,2008,,
Eternity and a Day,1998,,
Life Is Beautiful,1997,,
Scenes from a Marriage,1973,,
Satantango,1994,,
It's Such a Beautiful Day,2012,,
Where Is the Friend's House?,1987,,
An Elephant Sitting Still,2018,,
Landscape in the Mist,1988,,
Army of Shadows,1969,,
Apur Sansar,1959,,
Farewell My Concubine,1993,,
Ordet,1955,,
A Man Escaped,1956,,
The Wages of Fear,1953,,
Three Colours: Red,1994,,
How to Make Millions Before Grandma Dies,2024,,
Late Spring,1949,,
All That Jazz,1979,,
The Seventh Seal,1957,,
Wild Strawberries,1957,,
Z,1969,,
Still Walking,2008,,
Mirror,1975,,
Central Station,1998,,
I'm Still Here,2024,,
Brief Encounter,1945,,
Raise the Red Lantern,1991,,
To Be or Not to Be,1942,,
Monster,2003,,
Funeral Parade of Roses,1969,,
The Young Girls of Rochefort,1967,,
Taste of Cherry,1997,,
A Special Day,1977,,
Pather Panchali,1955,,
Mommy,2014,,
Tampopo,1985,,
Dog Day Afternoon,1975,,
Swing Girls,2004,,
The 400 Blows,1959,,
Rocco and His Brothers,1960,,
Wings of Desire,1987,,
The Celebration,1998,,
Werckmeister Harmonies,2000,,
M,1931,,
Yojimbo,1961,,
Shoplifters,2018,,
Bicycle Thieves,1948,,
The Sacrifice,1986,,
Sing Sing,2023,,
Underground,1995,,
The Father,2020,,
8½,1963,,
Opening Night,1977,,
Chungking Express,1994,,
La Notte,1961,,
The Hunt,2012,,
Akira,1988,,
Nostalgia,1983,,
The Cremator,1969,,
Children of Paradise,1945,,
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,,
Secrets & Lies,1996,,
The Man Who Shot Liberty Valance,1962,,
Throne of Blood,1957,,
Twin Peaks: Fire Walk with Me,1992,,
La Dolce Vita,1960,,
Samurai Rebellion,1967,,
Dersu Uzala,1975,,
"Life, and Nothing More…",1992,,
Ace in the Hole,1951,,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,,
The Night of the Hunter,1955,,
The Iron Giant,1999,,
Who's Afraid of Virginia Woolf?,1966,,
Look Back,2024,,
Cure,1997,,
Ugetsu,1953,,
Rififi,1955,,
Malcolm X,1992,,
A Matter of Life and Death,1946,,
Ritual,2000,,
The Tale of The Princess Kaguya,2013,,
Sorcerer,1977,,
Aparajito,1956,,
Umberto D.,1952,,
Winter Light,1963,,
Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,,
We All Loved Each Other So Much,1974,,
The First Slam Dunk,2022,,
Sweet Smell of Success,1957,,
Marcel the Shell with Shoes On,2021,,
Song of the Sea,2014,,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,,
Il Sorpasso,1962,,
Anatomy of a Murder,1959,,
The Face of Another,1966,,
The King of Comedy,1982,,
"4 Months, 3 Weeks and 2 Days",2007,,
Napoleon,2023,,
Azur & Asmar: The Princes' Quest,2006,,
Kes,1969,,
Fail Safe,1964,,
Tokyo Godfathers,2003,,
Solaris,1972,,
Kwaidan,1964,,
Le Samouraï,1967,,
The Disappearance of Haruhi Suzumiya,2010,,
An Autumn Afternoon,1962,,
The Life and Death of Colonel Blimp,1943,,
Millennium Actress,2001,,
Poetry,2010,,
